Epsilon	Accuracy	F1 Score
0	0.9970	0.9970
0.01	0.7215	0.7183
0.015	0.5169	0.5128
0.02	0.3621	0.3548
0.025	0.2594	0.2475
0.03	0.1883	0.1723
0.035	0.1426	0.1253
0.04	0.1100	0.0940
0.045	0.0861	0.0705
0.05	0.0699	0.0552
0.1	0.0248	0.0123
0.15	0.0127	0.0026
0.2	0.0101	0.0016
0.25	0.0096	0.0010
0.3	0.0106	0.0007
