Epsilon	Accuracy	F1 Score
0	0.9972	0.9972
0.01	0.6748	0.6724
0.015	0.4740	0.4680
0.02	0.3377	0.3269
0.025	0.2448	0.2307
0.03	0.1821	0.1651
0.035	0.1373	0.1182
0.04	0.1072	0.0866
0.045	0.0859	0.0645
0.05	0.0701	0.0498
0.1	0.0226	0.0104
0.15	0.0181	0.0060
0.2	0.0152	0.0024
0.25	0.0124	0.0013
0.3	0.0106	0.0007
