Epsilon	Accuracy	F1 Score
0	0.9967	0.9967
0.01	0.6113	0.5935
0.015	0.4284	0.3950
0.02	0.3101	0.2656
0.025	0.2302	0.1820
0.03	0.1781	0.1298
0.035	0.1409	0.0938
0.04	0.1116	0.0664
0.045	0.0883	0.0490
0.05	0.0723	0.0386
0.1	0.0219	0.0062
0.15	0.0169	0.0023
0.2	0.0115	0.0012
0.25	0.0102	0.0005
0.3	0.0096	0.0004
