Epsilon	Accuracy	F1 Score
0	0.9970	0.9970
0.01	0.4558	0.4548
0.015	0.2096	0.2088
0.02	0.1095	0.1085
0.025	0.0669	0.0647
0.03	0.0468	0.0446
0.035	0.0374	0.0349
0.04	0.0303	0.0283
0.045	0.0280	0.0260
0.05	0.0256	0.0237
0.1	0.0246	0.0227
0.15	0.0246	0.0227
0.2	0.0246	0.0227
0.25	0.0246	0.0227
0.3	0.0246	0.0227
