Epsilon	Accuracy	F1 Score
0	0.9968	0.9968
0.01	0.3591	0.3561
0.015	0.1601	0.1557
0.02	0.0865	0.0831
0.025	0.0547	0.0520
0.03	0.0393	0.0376
0.035	0.0303	0.0293
0.04	0.0252	0.0245
0.045	0.0240	0.0233
0.05	0.0227	0.0220
0.1	0.0220	0.0215
0.15	0.0220	0.0215
0.2	0.0220	0.0215
0.25	0.0220	0.0215
0.3	0.0220	0.0215
