Epsilon	Accuracy	F1 Score
0	0.9973	0.9973
0.01	0.2723	0.2481
0.015	0.1198	0.1040
0.02	0.0666	0.0553
0.025	0.0462	0.0365
0.03	0.0343	0.0257
0.035	0.0299	0.0219
0.04	0.0268	0.0191
0.045	0.0270	0.0192
0.05	0.0261	0.0186
0.1	0.0257	0.0182
0.15	0.0257	0.0182
0.2	0.0257	0.0182
0.25	0.0257	0.0182
0.3	0.0257	0.0182
