Epsilon	Accuracy	F1 Score
0	0.9967	0.9967
0.01	0.2611	0.2403
0.015	0.1060	0.0951
0.02	0.0593	0.0527
0.025	0.0414	0.0351
0.03	0.0328	0.0275
0.035	0.0288	0.0238
0.04	0.0263	0.0213
0.045	0.0251	0.0205
0.05	0.0250	0.0203
0.1	0.0247	0.0201
0.15	0.0247	0.0201
0.2	0.0247	0.0201
0.25	0.0247	0.0201
0.3	0.0247	0.0201
