Epsilon	Accuracy	F1 Score
0	0.9972	0.9972
0.01	0.4272	0.4283
0.015	0.1974	0.1975
0.02	0.1074	0.1061
0.025	0.0688	0.0684
0.03	0.0524	0.0519
0.035	0.0419	0.0411
0.04	0.0374	0.0365
0.045	0.0339	0.0333
0.05	0.0316	0.0310
0.1	0.0303	0.0296
0.15	0.0303	0.0296
0.2	0.0303	0.0296
0.25	0.0303	0.0296
0.3	0.0303	0.0296
