Epsilon	Accuracy	F1 Score
0	0.9972	0.9972
0.01	0.3404	0.3364
0.015	0.1452	0.1435
0.02	0.0785	0.0763
0.025	0.0536	0.0521
0.03	0.0382	0.0362
0.035	0.0316	0.0295
0.04	0.0291	0.0262
0.045	0.0274	0.0247
0.05	0.0258	0.0230
0.1	0.0253	0.0224
0.15	0.0253	0.0224
0.2	0.0253	0.0224
0.25	0.0253	0.0224
0.3	0.0253	0.0224
